2,5 % CWT;;;;;;;;;;;;
;;;;;;;;;;;;
CCI CLASS;Trees;;;;shrubs;;;;grasses;;Bare soil;sum
;TrBrEv;TrBrDe;TrNeEv;TrNeDe;ShBrEv;ShBrDe;ShNeEv;ShNeDe;NatGr;Crops;;
10;0,065;0,065;0;0;0;0;0;0;0,087;0,783;0;1
11;0,075;0,075;0;0;0;0;0;0;0,085;0,765;0;1
30;0,08;0,08;0;0;0;0;0;0;0,168;0,672;0;1
40;0,135;0,135;0;0;0;0;0;0;0,438;0,292;0;1
50;0,82;0;0;0;0;0;0;0;0,09;0,09;0;1
60;0;0,63;0;0;0;0;0;0;0,37;0;0;1
61;0;0,6;0;0;0;0;0;0;0,4;0;0;1
62;0;0,52;0;0;0;0;0;0;0,48;0;0;1
100;0,04;0,08;0,02;0,02;0;0;0;0;0,84;0;0;1
110;0,01;0,02;0,01;0;0;0;0;0;0,96;0;0;1
120;0,07;0,07;0;0;0;0;0;0;0,86;0;0;1
130;0,02;0,02;0;0;0;0;0;0;0,96;0;0;1
150;0;0,03;0;0;0;0;0;0;0,28;0;0,69;1
153;0;0,06;0;0;0;0;0;0;0,41;0;0,53;1
160;0,395;0,395;0;0;0;0;0;0;0,21;0;0;1
;;;;;;;;;;;;
97,5 % CWT;;;;;;;;;;;;
;;;;;;;;;;;;
CCI CLASS;Trees;;;;shrubs;;;;grasses;;Bare soil;sum
;TrBrEv;TrBrDe;TrNeEv;TrNeDe;ShBrEv;ShBrDe;ShNeEv;ShNeDe;NatGr;Crops;;
10;0,09;0,09;0;0;0;0;0;0;0,082;0,738;0;1
11;0,105;0,105;0;0;0;0;0;0;0,079;0,711;0;1
30;0,105;0,105;0;0;0;0;0;0;0,158;0,632;0;1
40;0,17;0,135;0;0;0;0;0;0;0,417;0,278;0;1
50;0,98;0;0;0;0;0;0;0;0,01;0,01;0;1
60;0;0,73;0;0;0;0;0;0;0,27;0;0;1
61;0;0,71;0;0;0;0;0;0;0,29;0;0;1
62;0;0,59;0;0;0;0;0;0;0,41;0;0;1
100;0,045;0,09;0,0225;0,0225;0;0;0;0;0,82;0;0;1
110;0,0175;0,035;0,0175;0;0;0;0;0;0,93;0;0;1
120;0,095;0,095;0;0;0;0;0;0;0,81;0;0;1
130;0,025;0,025;0;0;0;0;0;0;0,95;0;0;1
150;0;0,05;0;0;0;0;0;0;0,36;0;0,59;1
153;0;0,07;0;0;0;0;0;0;0,43;0;0,5;1
160;0,455;0,455;0;0;0;0;0;0;0,09;0;0;1
